epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.6462,1.60658,-17.0649,1.21259,0.00371,0.65909,0.30618,0.1556,1.60667,2.88877,1.10833,0.000651515,0.000651515,0.000651515
2,166.419,1.45252,-17.5255,1.13863,0.81378,0.10031,0.25276,0.12163,1.7384,2.39318,1.36436,0.00130513,0.00130513,0.00130513
3,250.391,1.47718,-24.2255,1.20658,0.88562,0.22727,0.24318,0.13217,1.66119,1.69584,1.33296,0.00194555,0.00194555,0.00194555
