epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.7836,1.55237,-24.4802,1.21414,0.00405,0.61364,0.25776,0.14847,1.53999,2.87308,1.13864,0.000651515,0.000651515,0.000651515
2,175.775,1.49688,-14.3293,1.14306,1,0.15826,0.19594,0.06759,1.83217,2.20013,1.42897,0.00130513,0.00130513,0.00130513
3,261.197,1.52348,-16.9017,1.19453,0.63872,0.18182,0.16938,0.0839,1.87024,2.17908,1.41253,0.00194555,0.00194555,0.00194555
4,340.248,1.50794,-20.7043,1.16989,0.40117,0.15909,0.12234,0.05969,1.70477,1.76312,1.42538,0.0019406,0.0019406,0.0019406
5,451.765,1.4962,-25.5995,1.19581,0.61533,0.13636,0.12161,0.05964,1.85304,1.64079,1.44284,0.0019208,0.0019208,0.0019208
6,546.824,1.41411,-28.2966,1.18429,0.97006,0.13636,0.14512,0.0782,1.8416,1.34828,1.61367,0.001901,0.001901,0.001901
